id,published_at,name,url,alternate_url,professional_roles,salary.from,salary.to,salary.currency,salary.gross,address.lat,address.lng,address.raw,address.metro.station_name,address.metro.line_name,employer.name,employer.accredited_it_employer,schedule.name,experience.name,department.name,job_type,intern,junior,middle,senior,lead,net_salary_from_rur,net_salary_to_rur,salary_info,date_published
87964448,2023-10-10T10:23:32+0300,Руководитель проектов Data Science,https://api.hh.ru/vacancies/87964448?host=hh.ru,https://hh.ru/vacancy/87964448,"[{'id': '107', 'name': 'Руководитель проектов'}]",,,,,,,,,,Норникель,False,Полный день,От 3 до 6 лет,,DS,0,0,1,1,0,,,0,2023-10-10
88516407,2023-10-26T11:21:31+0300,Data Science Team Lead / Senior Engineer,https://api.hh.ru/vacancies/88516407?host=hh.ru,https://hh.ru/vacancy/88516407,"[{'id': '165', 'name': 'Дата-сайентист'}]",400000.0,500000.0,RUR,False,,,,,,Хантфлоу,False,Полный день,От 3 до 6 лет,,DS,0,0,0,1,1,400000.0,500000.0,1,2023-10-26
88651809,2023-10-25T17:24:23+0300,Data Scientist (Центр валидации моделей сервисных блоков и экосистемы),https://api.hh.ru/vacancies/88651809?host=hh.ru,https://hh.ru/vacancy/88651809,"[{'id': '96', 'name': 'Программист, разработчик'}]",,,,,55.741338,37.531127,"Москва, Кутузовский проспект, 32к1",Кутузовская,Филевская,СБЕР,False,Полный день,От 1 года до 3 лет,Сбер. Data Science,DS,0,0,0,0,1,,,0,2023-10-25
85589571,2023-10-15T22:04:15+0300,Machine Learning Engineer (Рекламная платформа),https://api.hh.ru/vacancies/85589571?host=hh.ru,https://hh.ru/vacancy/85589571,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.773631,37.60558,"Москва, Оружейный переулок, 41",,,СБЕР,False,Гибкий график,От 3 до 6 лет,Сбер. IT,MLE,0,0,1,1,0,,,0,2023-10-15
82628451,2023-10-16T12:18:51+0300,Middle / Senior data scientist (NLP),https://api.hh.ru/vacancies/82628451?host=hh.ru,https://hh.ru/vacancy/82628451,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.746593,37.53738,"Москва, Пресненская набережная, 10",Выставочная,Филевская,Банк ВТБ (ПАО),False,Полный день,От 1 года до 3 лет,"ПАО ВТБ, Технологический блок",MLE or DS,0,0,1,1,0,,,0,2023-10-16
87790168,2023-10-05T15:21:53+0300,Senior Data Scientist NLP,https://api.hh.ru/vacancies/87790168?host=hh.ru,https://hh.ru/vacancy/87790168,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,СБЕР,False,Полный день,От 3 до 6 лет,Сбер для экспертов,DS,0,0,0,1,0,,,0,2023-10-05
84845366,2023-09-29T14:02:16+0300,Team Lead Data Scientist,https://api.hh.ru/vacancies/84845366?host=hh.ru,https://hh.ru/vacancy/84845366,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,Банк ДОМ.РФ,False,Полный день,От 3 до 6 лет,,DS,0,0,0,0,1,,,0,2023-09-29
86658807,2023-10-10T16:41:12+0300,Data scientist NLP (middle),https://api.hh.ru/vacancies/86658807?host=hh.ru,https://hh.ru/vacancy/86658807,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,,,,,,Ростелеком,False,Удаленная работа,От 1 года до 3 лет,,MLE or DS,0,0,1,0,0,,,0,2023-10-10
87971667,2023-10-10T11:31:38+0300,Data Scientist,https://api.hh.ru/vacancies/87971667?host=hh.ru,https://hh.ru/vacancy/87971667,"[{'id': '10', 'name': 'Аналитик'}]",,,,,,,,,,СБЕР,False,Полный день,От 3 до 6 лет,Сбер для экспертов,DS,0,0,1,1,0,,,0,2023-10-10
87683232,2023-10-03T16:59:18+0300,Старший Data Scientist в команду поиска и рекомендаций,https://api.hh.ru/vacancies/87683232?host=hh.ru,https://hh.ru/vacancy/87683232,"[{'id': '165', 'name': 'Дата-сайентист'}]",,,,,55.778669,37.587964,"Москва, Лесная улица, 7",Белорусская,Кольцевая,АВИТО ТЕХ,False,Полный день,От 3 до 6 лет,АВИТО ТЕХ: разработка,DS,0,0,1,0,0,,,0,2023-10-03
